VIT_00s0120g00020	GO:0000166	nucleotide binding	F
VIT_00s0120g00060	GO:0000166	nucleotide binding	F
VIT_00s0120g00060	GO:0016787	hydrolase activity	F
VIT_00s0120g00090	GO:0003677	DNA binding	F
VIT_00s0120g00090	GO:0006259	DNA metabolic process	P
VIT_00s0120g00100	GO:0000166	nucleotide binding	F
VIT_00s0120g00100	GO:0003676	nucleic acid binding	F
VIT_00s0120g00100	GO:0003824	catalytic activity	F
VIT_00s0120g00100	GO:0005737	cytoplasm	C
VIT_00s0120g00100	GO:0006139	nucleobase, nucleoside, nucleotide and nucleic acid metabolic process	P
VIT_00s0120g00100	GO:0006412	translation	P
VIT_00s0120g00150	GO:0003677	DNA binding	F
VIT_00s0120g00150	GO:0006259	DNA metabolic process	P
VIT_00s0120g00170	GO:0003677	DNA binding	F
VIT_00s0120g00170	GO:0006259	DNA metabolic process	P
VIT_00s0120g00230	GO:0003677	DNA binding	F
VIT_00s0120g00230	GO:0006259	DNA metabolic process	P
VIT_00s0120g00260	GO:0003677	DNA binding	F
VIT_00s0120g00260	GO:0006259	DNA metabolic process	P
VIT_00s0120g00270	GO:0000166	nucleotide binding	F
VIT_00s0120g00270	GO:0003774	motor activity	F
VIT_00s0120g00270	GO:0005856	cytoskeleton	C
VIT_00s0120g00290	GO:0005488	binding	F
VIT_00s0120g00290	GO:0019538	protein metabolic process	P
VIT_00s0125g00030	GO:0006139	nucleobase, nucleoside, nucleotide and nucleic acid metabolic process	P
VIT_00s0125g00030	GO:0009536	plastid	C
VIT_00s0125g00090	GO:0000166	nucleotide binding	F
VIT_00s0125g00090	GO:0003824	catalytic activity	F
VIT_00s0125g00090	GO:0004872	receptor activity	F
VIT_00s0125g00090	GO:0005515	protein binding	F
VIT_00s0125g00090	GO:0006464	protein modification process	P
VIT_00s0125g00090	GO:0008152	metabolic process	P
VIT_00s0125g00090	GO:0016020	membrane	C
VIT_00s0125g00090	GO:0016301	kinase activity	F
VIT_00s0125g00100	GO:0000166	nucleotide binding	F
VIT_00s0125g00100	GO:0006464	protein modification process	P
VIT_00s0125g00100	GO:0016301	kinase activity	F
VIT_00s0125g00120	GO:0003677	DNA binding	F
VIT_00s0125g00120	GO:0006259	DNA metabolic process	P
VIT_00s0125g00140	GO:0000166	nucleotide binding	F
VIT_00s0125g00140	GO:0003677	DNA binding	F
VIT_00s0125g00140	GO:0003700	sequence-specific DNA binding transcription factor activity	F
VIT_00s0125g00140	GO:0004872	receptor activity	F
VIT_00s0125g00140	GO:0005515	protein binding	F
VIT_00s0125g00140	GO:0005622	intracellular	C
VIT_00s0125g00140	GO:0005886	plasma membrane	C
VIT_00s0125g00140	GO:0006350	transcription	P
VIT_00s0125g00140	GO:0006464	protein modification process	P
VIT_00s0125g00140	GO:0016020	membrane	C
VIT_00s0125g00140	GO:0016301	kinase activity	F
VIT_00s0125g00150	GO:0005515	protein binding	F
VIT_00s0125g00170	GO:0000166	nucleotide binding	F
VIT_00s0125g00170	GO:0005515	protein binding	F
VIT_00s0125g00170	GO:0005777	peroxisome	C
VIT_00s0125g00170	GO:0009987	cellular process	P
VIT_00s0125g00170	GO:0016043	cellular component organization	P
VIT_00s0125g00170	GO:0016787	hydrolase activity	F
VIT_00s0125g00170	GO:0019538	protein metabolic process	P
VIT_00s0125g00180	GO:0005488	binding	F
VIT_00s0125g00180	GO:0005515	protein binding	F
VIT_00s0125g00190	GO:0005215	transporter activity	F
VIT_00s0125g00190	GO:0005488	binding	F
VIT_00s0125g00190	GO:0005886	plasma membrane	C
VIT_00s0125g00190	GO:0006810	transport	P
VIT_00s0125g00190	GO:0008152	metabolic process	P
VIT_00s0125g00190	GO:0016020	membrane	C
VIT_00s0125g00200	GO:0005886	plasma membrane	C
VIT_00s0125g00210	GO:0000166	nucleotide binding	F
VIT_00s0125g00210	GO:0004872	receptor activity	F
VIT_00s0125g00210	GO:0005515	protein binding	F
VIT_00s0125g00210	GO:0005886	plasma membrane	C
VIT_00s0125g00210	GO:0006464	protein modification process	P
VIT_00s0125g00210	GO:0016020	membrane	C
VIT_00s0125g00210	GO:0016301	kinase activity	F
VIT_00s0125g00220	GO:0005515	protein binding	F
VIT_00s0125g00250	GO:0000166	nucleotide binding	F
VIT_00s0125g00250	GO:0005488	binding	F
VIT_00s0125g00250	GO:0005515	protein binding	F
VIT_00s0125g00260	GO:0030234	enzyme regulator activity	F
VIT_00s0125g00270	GO:0005634	nucleus	C
VIT_00s0125g00270	GO:0007049	cell cycle	P
VIT_00s0125g00270	GO:0009987	cellular process	P
VIT_00s0125g00280	GO:0009536	plastid	C
VIT_00s0125g00280	GO:0009579	thylakoid	C
VIT_00s0125g00280	GO:0015979	photosynthesis	P
VIT_00s0125g00280	GO:0016020	membrane	C
VIT_00s0125g00290	GO:0005515	protein binding	F
VIT_00s0125g00290	GO:0005634	nucleus	C
VIT_00s0125g00290	GO:0007275	multicellular organismal development	P
VIT_00s0125g00310	GO:0005737	cytoplasm	C
VIT_00s0125g00310	GO:0005856	cytoskeleton	C
VIT_00s0125g00310	GO:0009987	cellular process	P
VIT_00s0125g00310	GO:0016043	cellular component organization	P
VIT_00s0125g00350	GO:0005488	binding	F
VIT_00s0125g00410	GO:0000166	nucleotide binding	F
VIT_00s0125g00410	GO:0005215	transporter activity	F
VIT_00s0125g00410	GO:0005488	binding	F
VIT_00s0125g00410	GO:0006139	nucleobase, nucleoside, nucleotide and nucleic acid metabolic process	P
VIT_00s0125g00410	GO:0006810	transport	P
